4.742424892711971651e-02 -4.360739955217304287e-01
4.489206002611222379e-01 5.409642995809385013e-01
8.122848317276686325e-01 4.782828578060737135e-01
6.175270329434909833e-01 7.535002589185535449e-01
7.577800127924599893e-01 7.698499890180103833e-01
1.582832427213639592e-01 5.299351290495191158e-01
1.165660151148867341e-01 2.399377409703699060e-01
5.193668726893636567e-01 1.973929738959049329e-01
3.463564204552012082e-01 4.895314491333084828e-01
9.188405972445502501e-01 9.948354975268767220e-01
1.178615878665507655e-01 2.006503948218235633e-01
3.476452144200820049e-01 3.922725732208856009e-01
8.326056753942929767e-01 1.153337879841433766e+00
6.852248440835055909e-01 6.207346308967658377e-01
1.881959884993478216e-02 1.519902646391371182e+00
5.863982768567785886e-01 5.873735726393414236e-01
1.367611463165465668e-01 1.836685127166723497e+00
4.472783392539463332e-01 2.042750821814408591e-01
5.757810417376489909e-01 6.759676318312928256e-01
1.545595388799705372e-01 -3.121453001719275422e-01
